family,episode_id,sample_index,timestamp_s,selected_action,step_index,constraint,pre,post,removed,added,collapse_source
closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,703,70.3629,BACKUP,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,703,70.3629,BACKUP,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,769,76.9896,BACKUP,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,769,76.9896,BACKUP,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,863,86.4468,BACKUP,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
closing_gap_multi_pedestrian,pgrr_extpilot_f04_closing_gap_multi_pedestrian_medium_train_r00_s91410_pgrr,863,86.4468,BACKUP,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,445,44.622,WAIT,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,445,44.622,WAIT,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,455,45.620999999999995,WAIT,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,455,45.620999999999995,WAIT,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,465,46.620000000000005,WAIT,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,465,46.620000000000005,WAIT,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,475,47.619,BACKUP,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,475,47.619,BACKUP,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,530,53.1468,BACKUP,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,530,53.1468,BACKUP,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,565,56.643299999999996,BACKUP,1,bc_yield_mask,"0,1,2,21,22","0,21,22","SUBGOAL_1,SUBGOAL_2",,NOT_COLLAPSED_TO_WAIT_BACKUP
lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,565,56.643299999999996,BACKUP,2,bc_closing_side,"0,21,22","0,21,22",,,NOT_COLLAPSED_TO_WAIT_BACKUP
lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,664,66.6,BACKUP,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,664,66.6,BACKUP,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,699,70.1298,SUBGOAL_0,1,bc_yield_mask,"0,1,21,22","0,21,22",SUBGOAL_1,,NOT_COLLAPSED_TO_WAIT_BACKUP
lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,699,70.1298,SUBGOAL_0,2,bc_closing_side,"0,21,22","0,21,22",,,NOT_COLLAPSED_TO_WAIT_BACKUP
lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,769,77.0895,BACKUP,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,769,77.0895,BACKUP,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,769,77.0895,BACKUP,3,bc_side_commitment,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,799,80.0865,BACKUP,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,799,80.0865,BACKUP,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
lead_pedestrian_sudden_stop,pgrr_extpilot_f05_lead_pedestrian_sudden_stop_low_train_r00_s91500_pgrr,799,80.0865,BACKUP,3,bc_side_commitment,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
bottleneck_cross_flow_merge,pgrr_extpilot_f06_bottleneck_cross_flow_merge_medium_train_r00_s91610_pgrr,419,41.991299999999995,WAIT,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
bottleneck_cross_flow_merge,pgrr_extpilot_f06_bottleneck_cross_flow_merge_medium_train_r00_s91610_pgrr,419,41.991299999999995,WAIT,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
bottleneck_cross_flow_merge,pgrr_extpilot_f06_bottleneck_cross_flow_merge_medium_train_r00_s91610_pgrr,419,41.991299999999995,WAIT,3,bc_recurrent_escape,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
bottleneck_cross_flow_merge,pgrr_extpilot_f06_bottleneck_cross_flow_merge_medium_train_r00_s91610_pgrr,428,42.9237,BACKUP,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
bottleneck_cross_flow_merge,pgrr_extpilot_f06_bottleneck_cross_flow_merge_medium_train_r00_s91610_pgrr,428,42.9237,BACKUP,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
bottleneck_cross_flow_merge,pgrr_extpilot_f06_bottleneck_cross_flow_merge_medium_train_r00_s91610_pgrr,428,42.9237,BACKUP,3,bc_recurrent_escape,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
bottleneck_cross_flow_merge,pgrr_extpilot_f06_bottleneck_cross_flow_merge_medium_train_r00_s91610_pgrr,438,43.956,WAIT,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
bottleneck_cross_flow_merge,pgrr_extpilot_f06_bottleneck_cross_flow_merge_medium_train_r00_s91610_pgrr,438,43.956,WAIT,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
bottleneck_cross_flow_merge,pgrr_extpilot_f06_bottleneck_cross_flow_merge_medium_train_r00_s91610_pgrr,463,46.453500000000005,WAIT,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
bottleneck_cross_flow_merge,pgrr_extpilot_f06_bottleneck_cross_flow_merge_medium_train_r00_s91610_pgrr,463,46.453500000000005,WAIT,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
bottleneck_cross_flow_merge,pgrr_extpilot_f06_bottleneck_cross_flow_merge_medium_train_r00_s91610_pgrr,473,47.4525,BACKUP,1,bc_yield_mask,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
bottleneck_cross_flow_merge,pgrr_extpilot_f06_bottleneck_cross_flow_merge_medium_train_r00_s91610_pgrr,473,47.4525,BACKUP,2,bc_closing_side,"21,22","21,22",,,UPSTREAM_BEFORE_FIRST_LOGGED_STEP
