method,split,family,density,outcome,manifest_episode_count,valid_episode_count,excluded_episode_count,scenario_count,seed_count,outcome_count,outcome_rate,rate_denominator,episode_duration_s_mean,navigation_time_s_mean,spl_mean,path_length_m_mean,min_human_distance_m_mean,personal_space_violation_ratio_mean,discomfort_time_s_mean,emergency_stop_count_mean,recovery_trigger_count_mean,recovery_success_rate_mean,recovery_duration_s_mean,intervention_ratio_mean,mean_abs_angular_jerk_rad_s3_mean
base,test,opposite_streams,medium,GOAL_REACHED,5,5,0,5,5,5,1.0,valid_episodes,89.1774,89.1774,1.0,20.848230737094678,0.8883454602731131,0.08072893095691014,3.1435199999999996,0.0,0.0,,0.0,0.02973731416699522,3.7509921248503566e-08
base,test,opposite_streams,medium,COLLISION,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,opposite_streams,medium,TIMEOUT,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,opposite_streams,medium,PLANNER_FAILURE,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,opposite_streams,medium,SIMULATOR_FAILURE,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,opposite_streams,medium,INVALID_RESET,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,overtaking,high,GOAL_REACHED,5,5,0,5,5,5,1.0,valid_episodes,88.78446,88.78446,1.0,20.859970202257873,0.8880375221193099,0.3427431113946549,9.69696,0.0,0.0,,0.0,0.04184548800356599,3.694221832668998e-08
base,test,overtaking,high,COLLISION,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,overtaking,high,TIMEOUT,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,overtaking,high,PLANNER_FAILURE,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,overtaking,high,SIMULATOR_FAILURE,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,overtaking,high,INVALID_RESET,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,overtaking,low,GOAL_REACHED,5,5,0,5,5,5,1.0,valid_episodes,88.99091999999999,88.99091999999999,1.0,20.897390293477617,0.9600095244781908,0.12495242038755236,3.9627000000000008,0.0,0.0,,0.0,0.006063649818042233,3.8719811516683144e-08
base,test,overtaking,low,COLLISION,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,overtaking,low,TIMEOUT,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,overtaking,low,PLANNER_FAILURE,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,overtaking,low,SIMULATOR_FAILURE,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,overtaking,low,INVALID_RESET,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,overtaking,medium,GOAL_REACHED,5,5,0,5,5,5,1.0,valid_episodes,88.96428,88.96428,1.0,20.869987559069948,0.8880154335883257,0.23171353320606336,8.411579999999999,0.0,0.0,,0.0,0.030314288193750434,3.852201439328751e-08
base,test,overtaking,medium,COLLISION,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,overtaking,medium,TIMEOUT,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,overtaking,medium,PLANNER_FAILURE,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,overtaking,medium,SIMULATOR_FAILURE,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,overtaking,medium,INVALID_RESET,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,temporary_blockage,high,GOAL_REACHED,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,temporary_blockage,high,COLLISION,5,5,0,5,5,5,1.0,valid_episodes,29.563739999999996,29.563739999999996,0.0,6.9541603175189355,0.6938774215208564,0.08951630676068476,1.7981999999999971,0.0,0.0,,0.0,0.038446869137252156,0.31478354297680733
base,test,temporary_blockage,high,TIMEOUT,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,temporary_blockage,high,PLANNER_FAILURE,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,temporary_blockage,high,SIMULATOR_FAILURE,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,temporary_blockage,high,INVALID_RESET,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,temporary_blockage,low,GOAL_REACHED,5,5,0,5,5,1,0.2,valid_episodes,73.1601,73.1601,0.9958778883240825,17.070365850074968,1.397300068260862,0.0,0.0,0.0,0.0,,0.0,0.034592626308602874,0.4208652955073565
base,test,temporary_blockage,low,COLLISION,5,5,0,5,5,4,0.8,valid_episodes,33.699600000000004,33.699600000000004,0.0,7.9423112511603655,0.6992067558862648,0.06959130769869847,1.548449999999999,0.0,0.0,,0.0,0.07632901698591772,0.20611184795034054
base,test,temporary_blockage,low,TIMEOUT,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,temporary_blockage,low,PLANNER_FAILURE,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,temporary_blockage,low,SIMULATOR_FAILURE,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,temporary_blockage,low,INVALID_RESET,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
